n_threads: 2
map: tests/11.in
run_time 0.018126
n_generations: 100
n_threads: 2
map: tests/12.in
run_time 0.138523
n_generations: 100
n_threads: 4
map: tests/1.in
run_time 0.000218
n_generations: 100
n_threads: 4
map: tests/2.in
run_time 0.000238
n_generations: 100
n_threads: 4
map: tests/3.in
run_time 0.002655
n_generations: 100
n_threads: 4
map: tests/4.in
run_time 0.000173
n_generations: 100
n_threads: 4
map: tests/5.in
run_time 0.000230
n_generations: 100
n_threads: 4
map: tests/6.in
run_time 0.000178
n_generations: 100
n_threads: 4
map: tests/7.in
run_time 0.003593
n_generations: 100
n_threads: 4
map: tests/8.in
run_time 0.002324
n_generations: 100
n_threads: 4
map: tests/9.in
run_time 0.002323
n_generations: 100
n_threads: 4
map: tests/10.in
run_time 0.004582
n_generations: 100
n_threads: 4
map: tests/11.in
run_time 0.015300
n_generations: 100
n_threads: 4
map: tests/12.in
run_time 0.084467
n_generations: 100
n_threads: 8
map: tests/1.in
run_time 0.002746
n_generations: 100
n_threads: 8
map: tests/2.in
run_time 0.007025
n_generations: 100
n_threads: 8
map: tests/3.in
run_time 0.007432
n_generations: 100
n_threads: 8
map: tests/4.in
run_time 0.002082
n_generations: 100
n_threads: 8
map: tests/5.in
run_time 0.003422
n_generations: 100
n_threads: 8
map: tests/6.in
run_time 0.001056
n_generations: 100
n_threads: 8
map: tests/7.in
run_time 0.007453
n_generations: 100
n_threads: 8
map: tests/8.in
run_time 0.007571
n_generations: 100
n_threads: 8
map: tests/9.in
run_time 0.010871
n_generations: 100
n_threads: 8
map: tests/10.in
run_time 0.004456
n_generations: 100
n_threads: 8
map: tests/11.in
run_time 0.009493
n_generations: 100
n_threads: 8
map: tests/12.in
run_time 0.111844
n_generations: 100
n_threads: 16
map: tests/1.in
run_time 0.005170
n_generations: 100
n_threads: 16
map: tests/2.in
run_time 0.005861
n_generations: 100
n_threads: 16
map: tests/3.in
run_time 0.005625
n_generations: 100
n_threads: 16
map: tests/4.in
run_time 0.004953
n_generations: 100
n_threads: 16
map: tests/5.in
run_time 0.005513
n_generations: 100
n_threads: 16
map: tests/6.in
run_time 0.004327
n_generations: 100
n_threads: 16
map: tests/7.in
run_time 0.008000
n_generations: 100
n_threads: 16
map: tests/8.in
run_time 0.007864
n_generations: 100
n_threads: 16
map: tests/9.in
run_time 0.008516
n_generations: 100
n_threads: 16
map: tests/10.in
run_time 0.006700
n_generations: 100
n_threads: 16
map: tests/11.in
run_time 0.014619
n_generations: 100
n_threads: 16
map: tests/12.in
run_time 0.097239
n_generations: 1000
n_threads: 1
map: tests/1.in
run_time 0.001131
n_generations: 1000
n_threads: 1
map: tests/2.in
run_time 0.001375
n_generations: 1000
n_threads: 1
